title,budget,worldwidegross,datecopy,date2,rate1,year,month,yearMean,logYearMeanRate
Star Trek VI: The Undiscovered Country,27000000,96900000,6-Dec-91,6-Dec-91,3.5888889,1991,12,5.1266289,1.6344483
My Girl,16500000,58011485,27-Nov-91,27-Nov-91,3.5158477,1991,11,5.1266289,1.6344483
The Addams Family,30000000,191502246,22-Nov-91,22-Nov-91,6.3834081,1991,11,5.1266289,1.6344483
Cape Fear,35000000,182291969,15-Nov-91,15-Nov-91,5.2083421,1991,11,5.1266289,1.6344483
Beauty and the Beast,20000000,451421625,13-Nov-91,13-Nov-91,22.571081,1991,11,5.1266289,1.6344483
Due occhi diabolici,9000000,349618,25-Oct-91,25-Oct-91,0.038846444,1991,10,5.1266289,1.6344483
House Party 2,5000000,19438638,23-Oct-91,23-Oct-91,3.8877275,1991,10,5.1266289,1.6344483
My Own Private Idaho,2500000,6401336,29-Sep-91,29-Sep-91,2.5605345,1991,9,5.1266289,1.6344483
The Fisher King,24000000,41798224,20-Sep-91,20-Sep-91,1.7415926,1991,9,5.1266289,1.6344483
Freddy's Dead: The Final Nightmare,5000000,34015591,13-Sep-91,13-Sep-91,6.8031182,1991,9,5.1266289,1.6344483
Beastmaster 2: Through the Portal of Time,6000000,773490,30-Aug-91,30-Aug-91,0.128915,1991,8,5.1266289,1.6344483
Harley Davidson and the Marlboro Man,23000000,7018525,23-Aug-91,23-Aug-91,0.30515325,1991,8,5.1266289,1.6344483
Double Impact,16000000,29090445,9-Aug-91,9-Aug-91,1.8181528,1991,8,5.1266289,1.6344483
Slacker,23000,1227508,1-Aug-91,1-Aug-91,53.369911,1991,8,5.1266289,1.6344483
Bill & Ted's Bogus Journey,20000000,37537675,19-Jul-91,19-Jul-91,1.8768837,1991,7,5.1266289,1.6344483
Boyz n the Hood,6500000,56190094,12-Jul-91,12-Jul-91,8.6446295,1991,7,5.1266289,1.6344483
Point Break,24000000,83531958,12-Jul-91,12-Jul-91,3.4804983,1991,7,5.1266289,1.6344483
Terminator 2: Judgment Day,100000000,513815401,2-Jul-91,2-Jul-91,5.138154,1991,7,5.1266289,1.6344483
The Last Waltz,35000,321952,1-Jul-91,1-Jul-91,9.1986284,1991,7,5.1266289,1.6344483
The Naked Gun 2’Ç_: The Smell of Fear,23000000,85748264,28-Jun-91,28-Jun-91,3.7281854,1991,6,5.1266289,1.6344483
Robin Hood: Prince of Thieves,50000000,390366200,14-Jun-91,14-Jun-91,7.8073239,1991,6,5.1266289,1.6344483
Hudson Hawk,65000000,16355667,24-May-91,24-May-91,0.25162566,1991,5,5.1266289,1.6344483
Stone Cold,25000000,9286314,17-May-91,17-May-91,0.37145257,1991,5,5.1266289,1.6344483
Teenage Mutant Ninja Turtles II: The Secret of the Ooze,25000000,76323571,22-Mar-91,22-Mar-91,3.0529428,1991,3,5.1266289,1.6344483
Nikita,7000000,5017971,8-Mar-91,8-Mar-91,0.71685302,1991,3,5.1266289,1.6344483
Haakon Haakonsen,8500000,15024232,1-Mar-91,1-Mar-91,1.7675567,1991,3,5.1266289,1.6344483
The Doors,40000000,33404794,1-Mar-91,1-Mar-91,0.83511984,1991,3,5.1266289,1.6344483
The Silence of the Lambs,20000000,269507594,14-Feb-91,14-Feb-91,13.47538,1991,2,5.1266289,1.6344483
White Fang,14000000,34729091,18-Jan-91,18-Jan-91,2.4806495,1991,1,5.1266289,1.6344483
Flight of the Intruder,35000000,14471440,18-Jan-91,18-Jan-91,0.4134697,1991,1,5.1266289,1.6344483
Warlock,7000000,8824553,10-Jan-91,10-Jan-91,1.2606504,1991,1,5.1266289,1.6344483
Straight out of Brooklyn,450000,2712293,1-Jan-91,1-Jan-91,6.027318,1991,1,5.1266289,1.6344483
Return to the Blue Lagoon,11000000,2000000,1-Jan-91,1-Jan-91,0.18181819,1991,1,5.1266289,1.6344483
Johnny Suede,500000,55000,1-Jan-91,1-Jan-91,0.11,1991,1,5.1266289,1.6344483
Showdown in Little Tokyo,8000000,2275557,1-Jan-91,1-Jan-91,0.28444463,1991,1,5.1266289,1.6344483
Hoffa,35000000,27893490,25-Dec-92,25-Dec-92,0.79695684,1992,12,4.8427172,1.5774759
The Muppet Christmas Carol,12000000,27281507,11-Dec-92,11-Dec-92,2.273459,1992,12,4.8427172,1.5774759
A Few Good Men,33000000,235685612,11-Dec-92,11-Dec-92,7.1419883,1992,12,4.8427172,1.5774759
The Crying Game,4000000,61587055,25-Nov-92,25-Nov-92,15.396764,1992,11,4.8427172,1.5774759
The Bodyguard,25000000,400588566,25-Nov-92,25-Nov-92,16.023542,1992,11,4.8427172,1.5774759
Home Alone 2: Lost in New York,20000000,355413379,20-Nov-92,20-Nov-92,17.770668,1992,11,4.8427172,1.5774759
Malcolm X,35000000,44707772,18-Nov-92,18-Nov-92,1.277365,1992,11,4.8427172,1.5774759
Bram Stoker's Dracula,40000000,211481986,13-Nov-92,13-Nov-92,5.2870498,1992,11,4.8427172,1.5774759
Aladdin,28000000,495277270,11-Nov-92,11-Nov-92,17.688475,1992,11,4.8427172,1.5774759
Reservoir Dogs,1200000,2832029,23-Oct-92,23-Oct-92,2.3600242,1992,10,4.8427172,1.5774759
The Mighty Ducks,10000000,49764659,2-Oct-92,2-Oct-92,4.9764657,1992,10,4.8427172,1.5774759
Hero,42000000,65507017,2-Oct-92,2-Oct-92,1.5596908,1992,10,4.8427172,1.5774759
Glengarry Glen Ross,12500000,10725228,30-Sep-92,30-Sep-92,0.85801822,1992,9,4.8427172,1.5774759
The Last of the Mohicans,40000000,71759298,25-Sep-92,25-Sep-92,1.7939825,1992,9,4.8427172,1.5774759
Light Sleeper,5000000,1050861,21-Sep-92,21-Sep-92,0.21017221,1992,9,4.8427172,1.5774759
Unforgiven,14400000,157162710,7-Aug-92,7-Aug-92,10.914077,1992,8,4.8427172,1.5774759
Raising Cain,11000000,21171695,7-Aug-92,7-Aug-92,1.9246995,1992,8,4.8427172,1.5774759
Death Becomes Her,55000000,149022650,31-Jul-92,31-Jul-92,2.7095027,1992,7,4.8427172,1.5774759
Buffy the Vampire Slayer,7000000,13662164,31-Jul-92,31-Jul-92,1.9517378,1992,7,4.8427172,1.5774759
Boomerang,42000000,126337168,1-Jul-92,1-Jul-92,3.0080278,1992,7,4.8427172,1.5774759
A League of Their Own,40000000,132310685,1-Jul-92,1-Jul-92,3.3077672,1992,7,4.8427172,1.5774759
Batman Returns,80000000,266824291,18-Jun-92,18-Jun-92,3.3353035,1992,6,4.8427172,1.5774759
Patriot Games,45000000,178100000,5-Jun-92,5-Jun-92,3.9577777,1992,6,4.8427172,1.5774759
Alien 3,55000000,155933485,22-May-92,22-May-92,2.8351543,1992,5,4.8427172,1.5774759
Lethal Weapon 3,35000000,314768020,15-May-92,15-May-92,8.993372,1992,5,4.8427172,1.5774759
Split Second,7000000,5430822,1-May-92,1-May-92,0.7758317,1992,5,4.8427172,1.5774759
The Player,8000000,28876702,10-Apr-92,10-Apr-92,3.6095877,1992,4,4.8427172,1.5774759
Howards End,8000000,25919211,13-Mar-92,13-Mar-92,3.2399013,1992,3,4.8427172,1.5774759
My Cousin Vinny,11000000,52929168,13-Mar-92,13-Mar-92,4.8117428,1992,3,4.8427172,1.5774759
The Lawnmower Man,10000000,32100816,6-Mar-92,6-Mar-92,3.2100816,1992,3,4.8427172,1.5774759
Memoirs of an Invisible Man,40000000,14358033,28-Feb-92,28-Feb-92,0.35895082,1992,2,4.8427172,1.5774759
Radio Flyer,35000000,4651977,21-Feb-92,21-Feb-92,0.13291363,1992,2,4.8427172,1.5774759
Wayne's World,20000000,180752584,14-Feb-92,14-Feb-92,9.0376291,1992,2,4.8427172,1.5774759
Medicine Man,40000000,44948240,7-Feb-92,7-Feb-92,1.123706,1992,2,4.8427172,1.5774759
Shadowlands,22000000,25842377,29-Dec-93,29-Dec-93,1.1746535,1993,12,9.7445936,2.2767127
Tombstone,25000000,56505065,25-Dec-93,25-Dec-93,2.2602026,1993,12,9.7445936,2.2767127
What's Eating Gilbert Grape,11000000,9170214,25-Dec-93,25-Dec-93,0.83365583,1993,12,9.7445936,2.2767127
Philadelphia,26000000,200512063,22-Dec-93,22-Dec-93,7.7120023,1993,12,9.7445936,2.2767127
The Pelican Brief,45000000,187995859,17-Dec-93,17-Dec-93,4.1776857,1993,12,9.7445936,2.2767127
Schindler's List,25000000,320792986,15-Dec-93,15-Dec-93,12.831719,1993,12,9.7445936,2.2767127
Mrs. Doubtfire,25000000,440783653,24-Nov-93,24-Nov-93,17.631346,1993,11,9.7445936,2.2767127
The Nutcracker,19000000,2119994,24-Nov-93,24-Nov-93,0.11157863,1993,11,9.7445936,2.2767127
The Piano,7000000,38513715,12-Nov-93,12-Nov-93,5.5019593,1993,11,9.7445936,2.2767127
The Remains of the Day,15000000,63954968,5-Nov-93,5-Nov-93,4.2636647,1993,11,9.7445936,2.2767127
RoboCop 3,22000000,10696210,5-Nov-93,5-Nov-93,0.48619136,1993,11,9.7445936,2.2767127
Gettysburg,25000000,10731997,8-Oct-93,8-Oct-93,0.42927989,1993,10,9.7445936,2.2767127
Cool Runnings,14000000,150124600,1-Oct-93,1-Oct-93,10.723186,1993,10,9.7445936,2.2767127
Ruby in Paradise,800000,1001437,1-Oct-93,1-Oct-93,1.2517962,1993,10,9.7445936,2.2767127
Dazed and Confused,6900000,7950889,24-Sep-93,24-Sep-93,1.1523027,1993,9,9.7445936,2.2767127
Warlock: The Armageddon,3000000,3902679,24-Sep-93,24-Sep-93,1.3008929,1993,9,9.7445936,2.2767127
The Age of Innocence,34000000,32014993,17-Sep-93,17-Sep-93,0.94161743,1993,9,9.7445936,2.2767127
True Romance,12500000,12309980,10-Sep-93,10-Sep-93,0.98479837,1993,9,9.7445936,2.2767127
Fortress,12000000,46730578,3-Sep-93,3-Sep-93,3.8942149,1993,9,9.7445936,2.2767127
Only the Strong,6000000,3273588,27-Aug-93,27-Aug-93,0.54559797,1993,8,9.7445936,2.2767127
Jason Goes to Hell: The Final Friday,3000000,15935068,13-Aug-93,13-Aug-93,5.3116894,1993,8,9.7445936,2.2767127
The Fugitive,44000000,342333917,6-Aug-93,6-Aug-93,7.7803164,1993,8,9.7445936,2.2767127
Poetic Justice,14000000,25107237,23-Jul-93,23-Jul-93,1.7933741,1993,7,9.7445936,2.2767127
Hocus Pocus,28000000,39360491,16-Jul-93,16-Jul-93,1.4057318,1993,7,9.7445936,2.2767127
The Firm,42000000,270340892,30-Jun-93,30-Jun-93,6.4366879,1993,6,9.7445936,2.2767127
Last Action Hero,85000000,137298489,18-Jun-93,18-Jun-93,1.6152763,1993,6,9.7445936,2.2767127
Jurassic Park,63000000,1038812584,11-Jun-93,11-Jun-93,16.489088,1993,6,9.7445936,2.2767127
What's Love Got to Do With It,15000000,39100956,9-Jun-93,9-Jun-93,2.6067305,1993,6,9.7445936,2.2767127
Cliffhanger,65000000,255000000,28-May-93,28-May-93,3.9230769,1993,5,9.7445936,2.2767127
Super Mario Bros.,42000000,20844907,28-May-93,28-May-93,0.49630731,1993,5,9.7445936,2.2767127
Menace II Society,3500000,27731527,26-May-93,26-May-93,7.9232936,1993,5,9.7445936,2.2767127
Excessive Force,13000000,1152117,14-May-93,14-May-93,0.088624388,1993,5,9.7445936,2.2767127
Much Ado About Nothing,8000000,22549338,7-May-93,7-May-93,2.8186672,1993,5,9.7445936,2.2767127
The Dark Half,15000000,9579068,23-Apr-93,23-Apr-93,0.63860452,1993,4,9.7445936,2.2767127
Bound by Honor,35000000,4496583,16-Apr-93,16-Apr-93,0.1284738,1993,4,9.7445936,2.2767127
The Adventures of Huck Finn,6500000,24103594,2-Apr-93,2-Apr-93,3.7082453,1993,4,9.7445936,2.2767127
Teenage Mutant Ninja Turtles III,21000000,42273609,19-Mar-93,19-Mar-93,2.0130291,1993,3,9.7445936,2.2767127
El Mariachi,7000,2041928,26-Feb-93,26-Feb-93,291.70401,1993,2,9.7445936,2.2767127
Army of Darkness,11000000,21502976,19-Feb-93,19-Feb-93,1.954816,1993,2,9.7445936,2.2767127
Braindead,3000000,242623,12-Feb-93,12-Feb-93,0.080874331,1993,2,9.7445936,2.2767127
Groundhog Day,14600000,68504696,12-Feb-93,12-Feb-93,4.6921024,1993,2,9.7445936,2.2767127
Loaded Weapon 1,13000000,25726318,5-Feb-93,5-Feb-93,1.9789475,1993,2,9.7445936,2.2767127
Alive,32000000,34327309,15-Jan-93,15-Jan-93,1.0727284,1993,1,9.7445936,2.2767127
Nowhere to Run,15000000,50570994,15-Jan-93,15-Jan-93,3.3713996,1993,1,9.7445936,2.2767127
Return of the Living Dead 3,2000000,21000,1-Jan-93,1-Jan-93,0.0105,1993,1,9.7445936,2.2767127
Ed and his Dead Mother,1800000,673,1-Jan-93,1-Jan-93,0.000373889,1993,1,9.7445936,2.2767127
There Goes My Baby,10500000,125169,31-Dec-94,31-Dec-94,0.011920857,1994,12,7.2469306,1.9805781
The Jungle Book,27000000,43054607,25-Dec-94,25-Dec-94,1.5946151,1994,12,7.2469306,1.9805781
Legends of the Fall,30000000,160484854,23-Dec-94,23-Dec-94,5.3494949,1994,12,7.2469306,1.9805781
Street Fighter,35000000,99210975,23-Dec-94,23-Dec-94,2.8345993,1994,12,7.2469306,1.9805781
Little Women,15000000,50003303,21-Dec-94,21-Dec-94,3.3335536,1994,12,7.2469306,1.9805781
Ri’ÇÎ¢hie Ri’ÇÎ¢h,40000000,38059575,21-Dec-94,21-Dec-94,0.95148939,1994,12,7.2469306,1.9805781
Dumb & Dumber,16000000,246365376,16-Dec-94,16-Dec-94,15.397836,1994,12,7.2469306,1.9805781
Disclosure,55000000,212161593,9-Dec-94,9-Dec-94,3.8574836,1994,12,7.2469306,1.9805781
A Low Down Dirty Shame,10000000,29097256,23-Nov-94,23-Nov-94,2.9097257,1994,11,7.2469306,1.9805781
L’‘Î©on,16000000,45284974,18-Nov-94,18-Nov-94,2.8303108,1994,11,7.2469306,1.9805781
Star Trek: Generations,38000000,119839306,18-Nov-94,18-Nov-94,3.153666,1994,11,7.2469306,1.9805781
Heavenly Creatures,5000000,5324101,16-Nov-94,16-Nov-94,1.0648202,1994,11,7.2469306,1.9805781
The Santa Clause,22000000,189666650,11-Nov-94,11-Nov-94,8.6212111,1994,11,7.2469306,1.9805781
Interview with the Vampire: The Vampire Chronicles,50000000,223463524,11-Nov-94,11-Nov-94,4.4692707,1994,11,7.2469306,1.9805781
Frankenstein,45000000,112006296,4-Nov-94,4-Nov-94,2.4890287,1994,11,7.2469306,1.9805781
Stargate,55000000,196346004,28-Oct-94,28-Oct-94,3.5699275,1994,10,7.2469306,1.9805781
Bullets Over Broadway,20000000,13202987,21-Oct-94,21-Oct-94,0.66014934,1994,10,7.2469306,1.9805781
Clerks,27000,3673138,19-Oct-94,19-Oct-94,136.04214,1994,10,7.2469306,1.9805781
Wes Craven's New Nightmare,8000000,17976855,14-Oct-94,14-Oct-94,2.2471068,1994,10,7.2469306,1.9805781
Pulp Fiction,8000000,212886108,14-Oct-94,14-Oct-94,26.610764,1994,10,7.2469306,1.9805781
Hoop Dreams,700000,11746701,14-Oct-94,14-Oct-94,16.781002,1994,10,7.2469306,1.9805781
The Specialist,45000000,57344996,7-Oct-94,7-Oct-94,1.2743332,1994,10,7.2469306,1.9805781
Ed Wood,18000000,5755976,30-Sep-94,30-Sep-94,0.31977645,1994,9,7.2469306,1.9805781
The River Wild,45000000,93851705,30-Sep-94,30-Sep-94,2.0855935,1994,9,7.2469306,1.9805781
Exotica,1500000,5046118,23-Sep-94,23-Sep-94,3.3640788,1994,9,7.2469306,1.9805781
The Shawshank Redemption,25000000,28233104,23-Sep-94,23-Sep-94,1.1293242,1994,9,7.2469306,1.9805781
Timecop,28000000,101527925,16-Sep-94,16-Sep-94,3.6259973,1994,9,7.2469306,1.9805781
Rapa Nui,20000000,305070,11-Sep-94,11-Sep-94,0.0152535,1994,9,7.2469306,1.9805781
Killing Zoe,1500000,418953,31-Aug-94,31-Aug-94,0.279302,1994,8,7.2469306,1.9805781
Police Academy 7: Mission to Moscow,10000000,126247,26-Aug-94,26-Aug-94,0.0126247,1994,8,7.2469306,1.9805781
Clear and Present Danger,62000000,207320283,3-Aug-94,3-Aug-94,3.3438756,1994,8,7.2469306,1.9805781
The Mask,18000000,351574149,29-Jul-94,29-Jul-94,19.531897,1994,7,7.2469306,1.9805781
The Client,45000000,117612663,20-Jul-94,20-Jul-94,2.6136148,1994,7,7.2469306,1.9805781
True Lies,100000000,365291539,15-Jul-94,15-Jul-94,3.6529155,1994,7,7.2469306,1.9805781
Forrest Gump,55000000,679857164,6-Jul-94,6-Jul-94,12.361039,1994,7,7.2469306,1.9805781
The Shadow,40000000,31835600,1-Jul-94,1-Jul-94,0.79588997,1994,7,7.2469306,1.9805781
Baby's Day Out,50000000,16581575,1-Jul-94,1-Jul-94,0.33163151,1994,7,7.2469306,1.9805781
Wyatt Earp,63000000,25052000,24-Jun-94,24-Jun-94,0.39765081,1994,6,7.2469306,1.9805781
Wolf,70000000,125486001,17-Jun-94,17-Jun-94,1.7926571,1994,6,7.2469306,1.9805781
The Lion King,79300000,987480140,15-Jun-94,15-Jun-94,12.452461,1994,6,7.2469306,1.9805781
Speed,30000000,282312677,10-Jun-94,10-Jun-94,9.4104223,1994,6,7.2469306,1.9805781
Renaissance Man,40000000,23822558,3-Jun-94,3-Jun-94,0.59556395,1994,6,7.2469306,1.9805781
The Flintstones,45000000,353357367,27-May-94,27-May-94,7.852386,1994,5,7.2469306,1.9805781
Beverly Hills Cop III,50000000,119180938,25-May-94,25-May-94,2.3836188,1994,5,7.2469306,1.9805781
Crooklyn,14000000,13024170,13-May-94,13-May-94,0.93029785,1994,5,7.2469306,1.9805781
3 Ninjas Kick Back,20000000,11744960,6-May-94,6-May-94,0.58724803,1994,5,7.2469306,1.9805781
PCU,9000000,4333569,29-Apr-94,29-Apr-94,0.48150766,1994,4,7.2469306,1.9805781
The Inkwell,8000000,8864699,22-Apr-94,22-Apr-94,1.1080874,1994,4,7.2469306,1.9805781
Serial Mom,13000000,7881335,13-Apr-94,13-Apr-94,0.60625654,1994,4,7.2469306,1.9805781
Naked Gun 33 1/3: The Final Insult,30000000,50825302,18-Mar-94,18-Mar-94,1.6941767,1994,3,7.2469306,1.9805781
The Hudsucker Proxy,40000000,14938149,11-Mar-94,11-Mar-94,0.37345374,1994,3,7.2469306,1.9805781
Four Weddings and a Funeral,4500000,242281039,9-Mar-94,9-Mar-94,53.840229,1994,3,7.2469306,1.9805781
Sugar Hill,10000000,18219465,25-Feb-94,25-Feb-94,1.8219465,1994,2,7.2469306,1.9805781
On Deadly Ground,50000000,38590458,18-Feb-94,18-Feb-94,0.77180916,1994,2,7.2469306,1.9805781
Romeo Is Bleeding,10000000,3275585,4-Feb-94,4-Feb-94,0.32755849,1994,2,7.2469306,1.9805781
Ace Ventura: Pet Detective,12000000,106602138,4-Feb-94,4-Feb-94,8.8835115,1994,2,7.2469306,1.9805781
Dead Man Walking,11000000,83080768,29-Dec-95,29-Dec-95,7.5527973,1995,12,6.0180788,1.7947681
Richard III,9200000,4204857,29-Dec-95,29-Dec-95,0.45704967,1995,12,6.0180788,1.7947681
Restoration,18000000,3901738,29-Dec-95,29-Dec-95,0.21676323,1995,12,6.0180788,1.7947681
Twelve Monkeys,29000000,168797229,27-Dec-95,27-Dec-95,5.8205943,1995,12,6.0180788,1.7947681
Four Rooms,4000000,4219131,25-Dec-95,25-Dec-95,1.0547827,1995,12,6.0180788,1.7947681
Cutthroat Island,92000000,18333397,22-Dec-95,22-Dec-95,0.19927606,1995,12,6.0180788,1.7947681
Nixon,45000000,34642684,20-Dec-95,20-Dec-95,0.76983744,1995,12,6.0180788,1.7947681
Jumanji,65000000,262409938,15-Dec-95,15-Dec-95,4.037076,1995,12,6.0180788,1.7947681
Sabrina,58000000,87100000,15-Dec-95,15-Dec-95,1.5017241,1995,12,6.0180788,1.7947681
Othello,11000000,2844379,14-Dec-95,14-Dec-95,0.25857991,1995,12,6.0180788,1.7947681
Sense and Sensibility,16500000,134975897,11-Dec-95,11-Dec-95,8.180357,1995,12,6.0180788,1.7947681
Things to Do in Denver when You're Dead,15000000,529766,1-Dec-95,1-Dec-95,0.035317734,1995,12,6.0180788,1.7947681
Money Train,68000000,77205090,22-Nov-95,22-Nov-95,1.1353689,1995,11,6.0180788,1.7947681
Casino,52000000,110349860,22-Nov-95,22-Nov-95,2.1221128,1995,11,6.0180788,1.7947681
Toy Story,30000000,364402211,22-Nov-95,22-Nov-95,12.14674,1995,11,6.0180788,1.7947681
Goldeneye,60000000,355978900,17-Nov-95,17-Nov-95,5.9329815,1995,11,6.0180788,1.7947681
The American President,62000000,107809496,17-Nov-95,17-Nov-95,1.7388629,1995,11,6.0180788,1.7947681
Ace Ventura: When Nature Calls,30000000,212384285,10-Nov-95,10-Nov-95,7.0794764,1995,11,6.0180788,1.7947681
Fair Game,50000000,26097497,3-Nov-95,3-Nov-95,0.52194995,1995,11,6.0180788,1.7947681
Home for the Holidays,20000000,22074731,3-Nov-95,3-Nov-95,1.1037365,1995,11,6.0180788,1.7947681
Leaving Las Vegas,4000000,49737350,27-Oct-95,27-Oct-95,12.434338,1995,10,6.0180788,1.7947681
Copycat,20000000,31925151,27-Oct-95,27-Oct-95,1.5962576,1995,10,6.0180788,1.7947681
Vampire in Brooklyn,14000000,19556475,27-Oct-95,27-Oct-95,1.3968911,1995,10,6.0180788,1.7947681
Mallrats,6100000,2028211,20-Oct-95,20-Oct-95,0.3324936,1995,10,6.0180788,1.7947681
Get Shorty,30250000,114752669,20-Oct-95,20-Oct-95,3.7934766,1995,10,6.0180788,1.7947681
Jade,50000000,9812870,13-Oct-95,13-Oct-95,0.1962574,1995,10,6.0180788,1.7947681
The Scarlet Letter,50000000,10359006,13-Oct-95,13-Oct-95,0.20718011,1995,10,6.0180788,1.7947681
Assassins,50000000,83272938,6-Oct-95,6-Oct-95,1.6654588,1995,10,6.0180788,1.7947681
Halloween:  The Curse of Michael Myers,5000000,15106362,29-Sep-95,29-Sep-95,3.0212724,1995,9,6.0180788,1.7947681
To Die For,20000000,27420940,27-Sep-95,27-Sep-95,1.371047,1995,9,6.0180788,1.7947681
Se7en,30000000,328058010,22-Sep-95,22-Sep-95,10.935267,1995,9,6.0180788,1.7947681
Showgirls,40000000,37570437,22-Sep-95,22-Sep-95,0.9392609,1995,9,6.0180788,1.7947681
The Princess and the Cobbler,24000000,635381,25-Aug-95,25-Aug-95,0.026474208,1995,8,6.0180788,1.7947681
Desperado,7000000,25405445,25-Aug-95,25-Aug-95,3.6293492,1995,8,6.0180788,1.7947681
Mortal Kombat,20000000,122123929,18-Aug-95,18-Aug-95,6.1061964,1995,8,6.0180788,1.7947681
The Usual Suspects,6000000,34380094,16-Aug-95,16-Aug-95,5.7300158,1995,8,6.0180788,1.7947681
The Brothers McMullen,50000,10202068,9-Aug-95,9-Aug-95,204.04137,1995,8,6.0180788,1.7947681
Babe,30000000,246075470,4-Aug-95,4-Aug-95,8.2025156,1995,8,6.0180788,1.7947681
Virtuosity,30000000,23980766,4-Aug-95,4-Aug-95,0.79935884,1995,8,6.0180788,1.7947681
The Net,22000000,110520117,28-Jul-95,28-Jul-95,5.0236416,1995,7,6.0180788,1.7947681
Waterworld,175000000,264214660,28-Jul-95,28-Jul-95,1.509798,1995,7,6.0180788,1.7947681
Kids,1500000,20269578,21-Jul-95,21-Jul-95,13.513052,1995,7,6.0180788,1.7947681
Under Siege 2: Dark Territory,60000000,104302097,14-Jul-95,14-Jul-95,1.7383683,1995,7,6.0180788,1.7947681
The Indian in the Cupboard,45000000,35621764,14-Jul-95,14-Jul-95,0.79159474,1995,7,6.0180788,1.7947681
First Knight,75000000,127027335,7-Jul-95,7-Jul-95,1.6936978,1995,7,6.0180788,1.7947681
Species,35000000,113300401,7-Jul-95,7-Jul-95,3.2371542,1995,7,6.0180788,1.7947681
Clueless,13700000,56598476,1-Jul-95,1-Jul-95,4.1312757,1995,7,6.0180788,1.7947681
Judge Dredd,85000000,113487912,30-Jun-95,30-Jun-95,1.3351519,1995,6,6.0180788,1.7947681
Apollo 13,65000000,334065864,30-Jun-95,30-Jun-95,5.1394749,1995,6,6.0180788,1.7947681
Batman Forever,100000000,336495936,16-Jun-95,16-Jun-95,3.3649595,1995,6,6.0180788,1.7947681
The Incredibly True Adventure of Two Girls in Love,250000,2477155,16-Jun-95,16-Jun-95,9.9086199,1995,6,6.0180788,1.7947681
Pocahontas,55000000,347087906,10-Jun-95,10-Jun-95,6.310689,1995,6,6.0180788,1.7947681
Congo,50000000,151998938,9-Jun-95,9-Jun-95,3.0399787,1995,6,6.0180788,1.7947681
The Bridges of Madison County,22000000,175477088,2-Jun-95,2-Jun-95,7.9762311,1995,6,6.0180788,1.7947681
Casper,55000000,282209181,26-May-95,26-May-95,5.1310759,1995,5,6.0180788,1.7947681
Braveheart,72000000,209045647,24-May-95,24-May-95,2.9034119,1995,5,6.0180788,1.7947681
Tales from the Hood,6000000,11784569,24-May-95,24-May-95,1.9640949,1995,5,6.0180788,1.7947681
Die Hard: With a Vengeance,90000000,366072426,19-May-95,19-May-95,4.0674715,1995,5,6.0180788,1.7947681
The Perez Family,11000000,2669359,12-May-95,12-May-95,0.242669,1995,5,6.0180788,1.7947681
Crimson Tide,55000000,159381194,12-May-95,12-May-95,2.8978398,1995,5,6.0180788,1.7947681
Friday,3500000,27878724,26-Apr-95,26-Apr-95,7.9653497,1995,4,6.0180788,1.7947681
Kiss of Death,40000000,14924355,21-Apr-95,21-Apr-95,0.37310886,1995,4,6.0180788,1.7947681
Don Juan DeMarco,25000000,22011141,7-Apr-95,7-Apr-95,0.88044566,1995,4,6.0180788,1.7947681
Rob Roy,28000000,31341940,7-Apr-95,7-Apr-95,1.119355,1995,4,6.0180788,1.7947681
Bad Boys,23000000,141237842,7-Apr-95,7-Apr-95,6.1407757,1995,4,6.0180788,1.7947681
Jefferson in Paris,14000000,2442542,31-Mar-95,31-Mar-95,0.17446728,1995,3,6.0180788,1.7947681
Outbreak,50000000,67598303,10-Mar-95,10-Mar-95,1.351966,1995,3,6.0180788,1.7947681
Tank Girl,25000000,3817132,1-Mar-95,1-Mar-95,0.15268528,1995,3,6.0180788,1.7947681
The Quick and the Dead,32000000,18543650,10-Feb-95,10-Feb-95,0.57948905,1995,2,6.0180788,1.7947681
The Jerky Boys,4000000,7555256,3-Feb-95,3-Feb-95,1.888814,1995,2,6.0180788,1.7947681
Highlander III: The Sorcerer,26000000,13738574,27-Jan-95,27-Jan-95,0.52840668,1995,1,6.0180788,1.7947681
Before Sunrise,2500000,5523725,27-Jan-95,27-Jan-95,2.2094901,1995,1,6.0180788,1.7947681
Tales from the Crypt: Demon Knight,12000000,20943520,13-Jan-95,13-Jan-95,1.7452934,1995,1,6.0180788,1.7947681
Silent Trigger,15000000,76382,31-Dec-96,31-Dec-96,0.005092133,1996,12,3.1613791,1.1510084
Evita,55000000,151894804,25-Dec-96,25-Dec-96,2.7617238,1996,12,3.1613791,1.1510084
Hamlet,18000000,7043111,25-Dec-96,25-Dec-96,0.39128396,1996,12,3.1613791,1.1510084
My Fellow Americans,21500000,22294341,20-Dec-96,20-Dec-96,1.0369461,1996,12,3.1613791,1.1510084
Ghosts of Mississippi,36000000,13052741,20-Dec-96,20-Dec-96,0.36257613,1996,12,3.1613791,1.1510084
Marvin's Room,23000000,12782508,20-Dec-96,20-Dec-96,0.55576122,1996,12,3.1613791,1.1510084
Scream,15000000,173001286,20-Dec-96,20-Dec-96,11.533419,1996,12,3.1613791,1.1510084
Beavis and Butt-head Do America,12000000,63071133,20-Dec-96,20-Dec-96,5.2559276,1996,12,3.1613791,1.1510084
