title,budget,worldwidegross,datecopy,date2,rate1,year,month,yearMean,logYearMeanRate
The Wicked Lady,8000000,589308,28-Oct-83,28-Oct-83,0.073663503,1983,10,7.5203214,2.0176089
The Dead Zone,10000000,19287938,21-Oct-83,21-Oct-83,1.9287938,1983,10,7.5203214,2.0176089
The Right Stuff,27000000,21192102,21-Oct-83,21-Oct-83,0.78489268,1983,10,7.5203214,2.0176089
Never Say Never Again,36000000,159932841,7-Oct-83,7-Oct-83,4.4425788,1983,10,7.5203214,2.0176089
Brainstorm,15000000,8921050,30-Sep-83,30-Sep-83,0.5947367,1983,9,7.5203214,2.0176089
The Ballad of Gregorio Cortez,1305000,909000,19-Aug-83,19-Aug-83,0.69655174,1983,8,7.5203214,2.0176089
National Lampoon’Ç’«s Vacation,15000000,61399552,29-Jul-83,29-Jul-83,4.0933037,1983,7,7.5203214,2.0176089
Twilight Zone: The Movie,10000000,29450919,24-Jun-83,24-Jun-83,2.945092,1983,6,7.5203214,2.0176089
Superman III,39000000,59950623,17-Jun-83,17-Jun-83,1.5371954,1983,6,7.5203214,2.0176089
Octopussy,27500000,182040579,10-Jun-83,10-Jun-83,6.6196575,1983,6,7.5203214,2.0176089
WarGames,12000000,74433837,3-Jun-83,3-Jun-83,6.2028198,1983,6,7.5203214,2.0176089
Star Wars Ep. VI: Return of the Jedi,32500000,572625409,25-May-83,25-May-83,17.619244,1983,5,7.5203214,2.0176089
The Evil Dead,375000,29400000,15-Apr-83,15-Apr-83,78.400002,1983,4,7.5203214,2.0176089
Lone Wolf McQuade,5000000,12232628,15-Apr-83,15-Apr-83,2.4465256,1983,4,7.5203214,2.0176089
Flashdance,7000000,201463574,15-Apr-83,15-Apr-83,28.78051,1983,4,7.5203214,2.0176089
Losin' It,7000000,1246141,8-Apr-83,8-Apr-83,0.17802015,1983,4,7.5203214,2.0176089
The Outsiders,10000000,25584680,25-Mar-83,25-Mar-83,2.5584681,1983,3,7.5203214,2.0176089
Lovesick,10100000,10143618,18-Feb-83,18-Feb-83,1.0043186,1983,2,7.5203214,2.0176089
Videodrome,5952000,2120439,4-Feb-83,4-Feb-83,0.35625654,1983,2,7.5203214,2.0176089
E tu vivrai nel terrore - L'aldil’‘’_,400000,126387,1-Jan-83,1-Jan-83,0.3159675,1983,1,7.5203214,2.0176089
The Cotton Club,48000000,25928721,14-Dec-84,14-Dec-84,0.5401817,1984,12,6.3410258,1.8470405
A Passage to India,27500000,27187653,14-Dec-84,14-Dec-84,0.98864192,1984,12,6.3410258,1.8470405
Dune,45000000,27447471,14-Dec-84,14-Dec-84,0.60994381,1984,12,6.3410258,1.8470405
Beverly Hills Cop,15000000,311449244,5-Dec-84,5-Dec-84,20.763283,1984,12,6.3410258,1.8470405
A Nightmare on Elm Street,1800000,25504513,9-Nov-84,9-Nov-84,14.169174,1984,11,6.3410258,1.8470405
The Terminator,6400000,76953296,26-Oct-84,26-Oct-84,12.023952,1984,10,6.3410258,1.8470405
Body Double,10000000,8801940,26-Oct-84,26-Oct-84,0.88019401,1984,10,6.3410258,1.8470405
Amadeus,18000000,51564280,19-Sep-84,19-Sep-84,2.8646822,1984,9,6.3410258,1.8470405
C.H.U.D.,1250000,4700000,31-Aug-84,31-Aug-84,3.76,1984,8,6.3410258,1.8470405
Sheena,25000000,5778353,17-Aug-84,17-Aug-84,0.23113412,1984,8,6.3410258,1.8470405
Die Unendliche Geschichte,27000000,20158808,20-Jul-84,20-Jul-84,0.7466225,1984,7,6.3410258,1.8470405
Conan the Destroyer,18000000,26365298,29-Jun-84,29-Jun-84,1.4647387,1984,6,6.3410258,1.8470405
The Karate Kid,8000000,90815558,22-Jun-84,22-Jun-84,11.351945,1984,6,6.3410258,1.8470405
Gremlins,11000000,148117285,8-Jun-84,8-Jun-84,13.465208,1984,6,6.3410258,1.8470405
Ghostbusters,30000000,295212467,8-Jun-84,8-Jun-84,9.840416,1984,6,6.3410258,1.8470405
Once Upon a Time in America,30000000,5321508,1-Jun-84,1-Jun-84,0.1773836,1984,6,6.3410258,1.8470405
Star Trek III: The Search for Spock,18000000,81802739,1-Jun-84,1-Jun-84,4.5445967,1984,6,6.3410258,1.8470405
Indiana Jones and the Temple of Doom,28000000,328283524,23-May-84,23-May-84,11.724412,1984,5,6.3410258,1.8470405
Firestarter,15000000,15136870,11-May-84,11-May-84,1.0091246,1984,5,6.3410258,1.8470405
Love Letters,550000,5269990,27-Apr-84,27-Apr-84,9.5818005,1984,4,6.3410258,1.8470405
Friday the 13th Part IV: The Final Chapter,2600000,30393007,13-Apr-84,13-Apr-84,11.689618,1984,4,6.3410258,1.8470405
